Score,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,ID
90,Bachelors,2013,Bangalore,3,0,0,No,4,0,2968
100,Bachelors,2012,Pune,3,0,1,No,1,0,3281
60,Bachelors,2017,Bangalore,3,0,1,No,2,0,1133
45,Bachelors,2014,Bangalore,3,0,0,No,2,1,3043
70,Bachelors,2014,Bangalore,3,0,1,Yes,1,0,3897
55,Bachelors,2012,Pune,3,0,0,No,3,1,1512
5,Bachelors,2018,New Delhi,3,0,0,Yes,4,1,376
100,Bachelors,2013,Pune,3,0,1,No,4,0,988
90,Bachelors,2016,Bangalore,3,0,1,No,0,0,3240
90,Bachelors,2014,Bangalore,3,0,1,No,1,0,2751
15,Bachelors,2017,Bangalore,2,0,0,No,2,1,1922
70,Bachelors,2013,Bangalore,3,0,1,Yes,4,0,2383
90,Bachelors,2013,Bangalore,3,0,1,No,0,0,4278
70,Masters,2017,New Delhi,3,0,0,No,3,0,1093
55,Masters,2012,New Delhi,3,0,1,No,4,1,874
70,Bachelors,2017,New Delhi,3,0,0,No,3,0,279
100,Bachelors,2012,New Delhi,3,0,0,No,4,0,1303
90,Bachelors,2012,Bangalore,3,0,0,No,2,0,3539
60,Bachelors,2017,Bangalore,3,0,1,No,2,0,3050
100,Masters,2014,Pune,3,0,1,No,4,0,3438
55,Bachelors,2014,Pune,3,0,0,No,3,1,1280
90,Bachelors,2015,Bangalore,3,0,1,No,2,0,2031
110,Bachelors,2017,Pune,2,0,0,No,5,1,2583
55,Bachelors,2014,New Delhi,2,0,0,No,2,1,390
15,Bachelors,2018,Bangalore,3,0,0,No,2,1,1555
90,Bachelors,2015,Bangalore,3,0,1,No,1,0,4251
25,Masters,2017,Pune,2,0,0,No,3,1,1032
90,Bachelors,2015,Bangalore,3,0,1,No,2,0,2377
55,Bachelors,2015,Pune,2,0,0,No,2,1,4346
90,Bachelors,2012,Bangalore,3,0,0,No,4,0,841
60,Bachelors,2017,Bangalore,3,0,0,No,1,0,2188
15,Bachelors,2017,Bangalore,3,0,1,No,4,1,4591
40,Bachelors,2017,Bangalore,3,0,1,Yes,4,0,1935
90,Bachelors,2012,Bangalore,3,0,1,No,1,0,4444
90,Bachelors,2014,Bangalore,3,0,1,No,1,0,4427
100,Masters,2013,New Delhi,3,1,0,No,2,0,3809
55,Bachelors,2012,Pune,3,0,0,No,2,1,1878
70,Masters,2017,Pune,2,0,1,No,3,0,955
15,Bachelors,2018,Bangalore,3,0,0,No,2,1,647
110,Bachelors,2013,Bangalore,3,0,1,No,5,0,1186
55,Masters,2014,New Delhi,3,0,0,No,0,1,4637
110,Bachelors,2017,New Delhi,3,0,1,No,5,0,1917
90,Bachelors,2015,Bangalore,3,0,1,No,0,0,4186
90,Bachelors,2014,Bangalore,3,0,1,No,4,0,1013
110,Bachelors,2013,Bangalore,3,0,1,No,5,0,3523
90,Bachelors,2013,Bangalore,3,0,1,No,2,0,4482
55,Masters,2012,New Delhi,3,0,0,No,2,1,323
55,Masters,2012,Pune,3,0,1,No,4,1,2825
100,Bachelors,2014,Pune,3,0,1,No,1,0,2663
110,Bachelors,2016,Pune,3,1,1,No,5,0,3767
90,Bachelors,2012,Bangalore,3,0,1,No,4,0,3292
110,PHD,2015,New Delhi,3,0,1,No,2,1,2166
60,Bachelors,2017,Bangalore,3,0,1,No,2,0,1920
110,Masters,2017,New Delhi,2,0,1,No,5,1,481
100,Masters,2014,New Delhi,1,0,0,No,3,0,1775
45,Masters,2014,Bangalore,3,0,0,No,2,1,3207
110,Masters,2013,Pune,3,0,0,Yes,5,1,2541
110,Bachelors,2015,Pune,3,0,1,No,5,0,2714
100,Bachelors,2016,Pune,3,0,1,No,1,0,2629
15,Bachelors,2018,Bangalore,3,0,0,No,4,1,1715
15,Bachelors,2018,Bangalore,3,0,1,No,2,1,788
90,Bachelors,2014,Bangalore,3,0,0,No,3,0,654
70,Bachelors,2017,New Delhi,2,0,0,No,3,0,811
100,Bachelors,2012,Pune,3,0,1,No,4,0,2979
55,Bachelors,2015,Pune,2,0,0,No,3,1,1393
70,Bachelors,2017,New Delhi,3,0,0,No,4,0,3664
90,Bachelors,2015,Bangalore,3,0,1,No,4,0,2694
90,Bachelors,2014,Bangalore,3,0,1,No,0,0,4494
110,Bachelors,2017,New Delhi,2,1,0,No,5,0,4356
90,Bachelors,2012,Bangalore,3,0,1,No,4,0,3151
110,PHD,2016,New Delhi,1,0,1,No,4,0,1660
90,Bachelors,2015,Bangalore,3,0,1,No,1,0,4076
55,Bachelors,2015,Pune,3,0,0,No,3,1,2501
25,Bachelors,2017,New Delhi,2,0,0,No,2,1,1874
110,Bachelors,2017,New Delhi,2,0,0,No,5,0,505
90,Bachelors,2015,Bangalore,3,0,1,No,0,0,3270
55,Bachelors,2014,Pune,2,0,0,No,3,1,659
110,Bachelors,2016,Pune,2,0,0,No,5,1,3117
70,Bachelors,2016,Bangalore,3,0,1,Yes,3,0,785
25,Masters,2017,Pune,2,0,0,No,2,1,429
55,Masters,2013,New Delhi,3,1,0,No,2,1,3514
45,Bachelors,2016,Bangalore,3,1,1,No,0,1,3439
110,PHD,2015,New Delhi,3,0,0,No,5,0,2670
90,Bachelors,2014,Bangalore,3,0,1,No,4,0,994
60,Bachelors,2017,Bangalore,3,0,0,No,4,0,1707
100,Bachelors,2013,New Delhi,3,0,1,No,4,0,2503
25,Masters,2017,New Delhi,3,0,0,No,2,1,1218
100,Bachelors,2014,New Delhi,3,0,0,No,2,0,179
110,Bachelors,2017,Bangalore,3,0,1,No,5,0,2937
-5,Masters,2017,Bangalore,2,1,1,Yes,2,1,3776
110,Masters,2013,Bangalore,3,0,1,No,5,1,2517
90,Bachelors,2016,Bangalore,3,0,1,No,4,0,176
25,Bachelors,2018,New Delhi,3,0,0,No,3,1,535
90,Bachelors,2014,Bangalore,3,0,1,No,4,0,4350
110,Bachelors,2015,Bangalore,3,0,1,No,5,0,1790
60,Bachelors,2017,Bangalore,3,0,1,No,4,0,2923
110,Bachelors,2014,Bangalore,3,0,1,No,5,0,4046
60,Masters,2017,Bangalore,3,1,0,No,4,0,3003
70,Bachelors,2016,Bangalore,3,0,1,Yes,4,0,1848
110,Bachelors,2013,Bangalore,3,0,1,No,5,0,2326
110,Masters,2017,Pune,2,0,1,No,5,0,348
45,Bachelors,2016,Bangalore,2,0,0,No,4,1,2686
100,Bachelors,2012,Pune,3,0,1,No,2,0,3165
45,Bachelors,2014,Bangalore,3,0,1,No,0,1,3944
55,Bachelors,2015,New Delhi,2,0,0,No,3,1,3714
110,Bachelors,2017,New Delhi,2,0,0,No,5,0,1757
100,Bachelors,2014,Pune,3,0,1,No,3,0,1905
90,Bachelors,2016,Bangalore,3,1,1,No,1,0,3115
35,Masters,2013,New Delhi,3,0,1,Yes,3,1,773
55,Bachelors,2015,Pune,2,0,0,No,2,1,631
55,Bachelors,2016,Pune,2,0,0,No,2,1,1504
55,Bachelors,2012,Pune,2,0,0,No,4,1,1000
45,Bachelors,2012,Bangalore,3,0,1,No,4,1,124
55,Bachelors,2014,Pune,2,0,0,No,3,1,201
45,Bachelors,2014,Bangalore,3,0,0,No,3,1,678
15,Bachelors,2018,Bangalore,3,0,1,No,4,1,905
25,Masters,2017,New Delhi,3,0,1,No,4,1,2227
55,Masters,2015,Pune,3,0,1,No,3,1,1417
100,Masters,2014,New Delhi,3,0,1,No,2,0,3452
60,Bachelors,2017,Bangalore,3,0,1,No,1,0,2925
55,Bachelors,2015,Pune,3,0,0,No,2,1,4611
110,Bachelors,2014,Bangalore,3,0,1,No,5,1,3457
90,Bachelors,2016,Bangalore,3,0,1,No,4,0,2374
90,Bachelors,2015,Bangalore,1,0,0,No,1,0,730
55,Bachelors,2015,Pune,3,0,0,No,2,1,1897
55,Bachelors,2015,Pune,3,0,0,No,1,1,2459
55,Bachelors,2013,Pune,2,0,0,No,1,1,2785
110,Bachelors,2016,Bangalore,3,0,1,No,5,0,320
110,Bachelors,2012,Bangalore,3,0,1,No,5,0,2468
15,Bachelors,2018,Bangalore,3,0,0,No,2,1,3894
25,Masters,2017,Pune,2,0,1,No,1,1,3634
110,Bachelors,2017,Bangalore,3,0,1,No,5,0,4412
90,Bachelors,2013,Bangalore,3,0,0,No,3,0,157
110,Bachelors,2015,Bangalore,3,0,0,No,5,0,194
90,Bachelors,2012,Bangalore,3,0,0,No,0,0,2862
70,Bachelors,2012,Bangalore,3,0,1,Yes,0,0,3719
70,Bachelors,2017,New Delhi,3,0,0,No,3,0,1283
55,Bachelors,2013,Pune,1,0,0,No,0,1,4459
25,Masters,2018,New Delhi,3,0,0,No,2,1,2976
55,Bachelors,2012,Pune,2,0,0,No,1,1,3640
55,Masters,2013,New Delhi,2,0,1,No,2,1,1357
100,Bachelors,2012,Pune,1,0,1,No,4,0,1665
55,Masters,2016,Pune,3,0,1,No,4,1,2837
110,Bachelors,2013,Bangalore,3,0,1,No,5,1,4042
90,Bachelors,2016,Bangalore,3,0,0,No,1,0,2439
25,Masters,2018,New Delhi,3,0,0,No,2,1,4398
45,Bachelors,2014,Bangalore,3,0,1,No,4,1,2585
100,Masters,2015,New Delhi,3,0,0,No,2,0,3579
100,Bachelors,2014,Pune,2,0,1,No,4,0,1608
90,Bachelors,2016,Bangalore,3,0,1,No,0,0,4226
110,Bachelors,2016,Bangalore,3,0,0,No,5,1,563
110,Bachelors,2013,Pune,2,0,0,No,5,1,2952
100,Bachelors,2016,Pune,3,0,1,No,4,0,2118
110,Bachelors,2013,Pune,2,0,1,Yes,5,0,4499
110,Bachelors,2017,New Delhi,2,0,1,No,6,0,3973
70,Masters,2017,Pune,2,0,0,No,1,0,2126
110,Bachelors,2013,Pune,2,0,1,Yes,5,0,783
90,Bachelors,2016,Bangalore,3,0,0,No,0,0,3252
90,Bachelors,2012,Bangalore,3,0,1,No,1,0,3912
25,Bachelors,2017,Pune,2,0,0,No,0,1,35
100,Masters,2014,New Delhi,1,0,1,No,1,0,2359
90,Bachelors,2015,Bangalore,3,0,1,No,2,0,408
25,Masters,2017,New Delhi,1,0,0,No,3,1,137
90,Bachelors,2016,Bangalore,3,0,1,No,3,0,1777
90,Bachelors,2016,Bangalore,3,0,1,No,2,0,3637
60,Bachelors,2017,Bangalore,3,0,1,No,4,0,3657
70,Masters,2017,Pune,3,0,0,No,2,0,1279
110,PHD,2017,New Delhi,3,0,1,No,5,0,2709
70,Masters,2017,New Delhi,2,0,0,No,4,0,4220
70,Bachelors,2012,Bangalore,3,0,0,Yes,0,0,2733
45,Bachelors,2012,Bangalore,3,0,0,No,3,1,4001
100,Bachelors,2014,New Delhi,3,0,1,No,1,0,2391
110,Bachelors,2015,Pune,2,0,0,Yes,5,1,227
25,Masters,2017,New Delhi,2,0,0,No,3,1,331
70,Bachelors,2017,New Delhi,2,0,0,No,4,0,4268
80,Bachelors,2013,Pune,3,0,0,Yes,4,0,855
110,Bachelors,2014,Bangalore,3,0,1,No,5,0,2860
45,Bachelors,2014,Bangalore,3,0,1,No,3,1,95
70,Bachelors,2017,New Delhi,3,0,1,No,1,0,2473
90,Bachelors,2013,Bangalore,1,1,1,No,2,0,3368
45,Bachelors,2013,Bangalore,3,0,1,No,2,1,1667
25,Bachelors,2017,Pune,2,0,0,No,2,1,1837
70,Masters,2017,Pune,3,0,1,No,1,0,3552
90,Bachelors,2014,Bangalore,3,0,1,No,1,0,1826
35,Masters,2014,New Delhi,3,0,1,Yes,2,1,4006
110,Bachelors,2014,Bangalore,3,0,0,Yes,5,0,54
25,Masters,2018,New Delhi,3,0,0,No,2,1,4515
90,Bachelors,2012,Bangalore,3,0,1,No,4,0,3125
90,Bachelors,2014,Bangalore,3,0,1,No,1,0,2017
55,Masters,2015,New Delhi,3,0,1,No,0,1,3424
45,Bachelors,2015,Bangalore,3,0,0,No,4,1,839
15,Bachelors,2018,Bangalore,3,0,1,No,2,1,2752
110,Bachelors,2013,New Delhi,3,0,0,No,5,1,2944
110,Bachelors,2015,Bangalore,3,0,0,No,5,0,1435
110,PHD,2016,New Delhi,3,0,0,No,2,0,832
90,Bachelors,2012,Bangalore,3,0,0,No,4,0,1308
25,Bachelors,2017,Pune,3,0,0,No,4,1,2006
110,PHD,2015,New Delhi,3,0,1,No,3,0,4280
110,PHD,2013,New Delhi,3,0,0,Yes,5,0,2139
55,Masters,2013,Pune,2,0,1,No,2,1,1403
15,Bachelors,2018,Bangalore,3,0,0,No,2,1,831
60,Bachelors,2017,Bangalore,3,0,1,No,2,0,1988
55,Bachelors,2013,New Delhi,3,0,0,No,3,1,2844
100,Bachelors,2012,Pune,3,0,1,No,3,0,1475
110,Bachelors,2015,Bangalore,3,0,0,No,5,1,2032
110,PHD,2013,Bangalore,1,0,1,No,4,0,632
90,Bachelors,2014,Bangalore,3,0,1,No,1,0,3332
100,Bachelors,2012,New Delhi,3,0,0,No,2,0,402
100,Bachelors,2014,Pune,3,0,1,No,4,0,1585
90,Bachelors,2015,Bangalore,1,0,1,No,3,0,4566
100,Masters,2014,New Delhi,3,0,1,No,3,0,876
45,Bachelors,2015,Bangalore,3,0,1,No,2,1,3732
110,Bachelors,2014,Bangalore,3,0,0,No,5,0,2683
100,Bachelors,2015,New Delhi,3,0,0,No,3,0,1856
25,Masters,2017,New Delhi,2,0,0,No,2,1,3047
25,Masters,2018,New Delhi,3,0,0,No,2,1,4528
90,Bachelors,2012,Bangalore,3,0,1,No,3,0,1076
110,Bachelors,2014,Pune,3,1,1,No,5,0,3170
90,Bachelors,2015,Bangalore,3,0,1,No,1,0,3906
5,Masters,2017,New Delhi,2,0,0,Yes,4,1,2508
90,Bachelors,2016,Bangalore,3,0,0,No,3,0,498
15,Bachelors,2017,Bangalore,3,0,1,No,4,1,2094
70,Bachelors,2017,New Delhi,2,0,1,No,0,0,3255
55,Bachelors,2015,Pune,3,0,0,No,3,1,1358
70,Masters,2017,Pune,2,0,1,No,4,0,357
55,Bachelors,2015,Pune,2,0,0,No,1,1,475
60,Bachelors,2017,Bangalore,3,0,1,No,4,0,2537
-5,Bachelors,2018,Bangalore,3,0,1,Yes,2,1,3057
110,Bachelors,2012,Bangalore,3,0,1,No,5,0,1113
110,Bachelors,2015,Bangalore,3,0,0,No,5,0,111
70,Masters,2017,New Delhi,3,0,0,No,4,0,2839
90,Bachelors,2013,Bangalore,3,0,0,No,4,0,750
100,Bachelors,2014,Pune,3,0,1,No,4,0,567
-5,Bachelors,2018,Bangalore,3,0,1,Yes,2,1,2441
45,Bachelors,2015,Bangalore,3,0,0,No,3,1,3316
45,Bachelors,2013,Bangalore,3,0,0,No,3,1,1054
45,Bachelors,2014,Bangalore,3,0,1,No,1,1,1010
90,Bachelors,2012,Bangalore,3,0,1,No,4,0,1552
90,Bachelors,2016,Bangalore,3,0,0,No,4,0,656
90,Bachelors,2015,Bangalore,1,0,1,No,3,0,668
100,Bachelors,2015,New Delhi,3,0,1,No,1,0,3554
55,Bachelors,2012,Pune,2,0,1,No,3,1,801
60,Bachelors,2017,Bangalore,3,0,1,No,2,0,739
50,Masters,2017,New Delhi,2,0,1,Yes,2,0,3061
60,Bachelors,2017,Bangalore,3,0,0,No,4,0,3249
55,Bachelors,2014,Pune,2,0,0,No,4,1,997
100,Bachelors,2015,Pune,3,0,1,No,0,0,4306
70,Masters,2017,Pune,2,0,0,No,2,0,957
45,Bachelors,2016,Bangalore,3,0,0,No,3,1,3901
55,Bachelors,2015,Pune,2,0,0,No,2,1,2382
90,Bachelors,2016,Bangalore,3,0,1,No,2,0,3428
100,Bachelors,2012,Pune,1,0,1,No,1,0,4110
70,Bachelors,2017,Pune,2,0,1,No,0,0,3992
110,Bachelors,2013,Bangalore,3,0,1,No,5,0,2562
110,Bachelors,2013,Pune,2,0,0,No,5,1,1798
90,Bachelors,2014,Bangalore,3,0,0,No,4,0,3449
45,Bachelors,2013,Bangalore,3,0,0,No,4,1,1102
25,Bachelors,2017,New Delhi,3,0,1,No,2,1,242
60,Bachelors,2017,Bangalore,3,0,0,No,2,0,1818
90,Bachelors,2013,Bangalore,3,0,1,No,2,0,984
90,Bachelors,2015,Bangalore,3,0,1,No,3,0,3060
90,Bachelors,2014,Bangalore,3,0,1,No,3,0,1986
110,PHD,2016,Pune,3,0,0,No,4,0,3748
35,Bachelors,2015,Pune,2,0,0,Yes,1,1,3611
90,Bachelors,2015,Bangalore,3,0,1,No,0,0,1298
110,Bachelors,2016,Bangalore,3,0,0,No,5,1,3159
110,PHD,2017,Bangalore,3,0,0,No,2,0,1840
100,Bachelors,2015,New Delhi,3,0,0,No,4,0,2216
55,Bachelors,2014,Pune,2,0,0,No,1,1,2614
110,Bachelors,2014,Bangalore,3,0,1,No,5,0,2425
100,Bachelors,2014,New Delhi,3,0,1,No,0,0,68
35,Bachelors,2013,Pune,2,0,1,Yes,0,1,1450
110,PHD,2015,Bangalore,3,0,0,No,1,0,2231
80,Bachelors,2015,New Delhi,3,0,0,Yes,1,0,2757
45,Bachelors,2015,Bangalore,2,0,0,No,2,1,3123
45,Bachelors,2013,Bangalore,1,0,0,No,1,1,3204
5,Masters,2017,New Delhi,2,0,1,Yes,3,1,536
90,Bachelors,2015,Bangalore,3,0,1,No,1,0,4414
90,Bachelors,2013,Bangalore,3,0,0,No,4,0,2706
90,Bachelors,2016,Bangalore,3,0,1,No,4,0,2696
110,Bachelors,2018,Pune,3,0,1,No,5,1,2861
55,Bachelors,2015,Pune,2,0,0,No,0,1,4545
60,Bachelors,2017,Bangalore,3,0,1,No,3,0,822
25,Masters,2018,New Delhi,3,0,1,No,4,1,136
55,Bachelors,2014,Pune,2,0,0,No,4,1,690
55,Bachelors,2015,New Delhi,2,0,0,No,1,1,1991
110,Bachelors,2013,Bangalore,3,0,0,No,5,0,4644
100,Bachelors,2014,Pune,3,0,1,No,4,0,2637
90,Bachelors,2014,Bangalore,3,0,0,No,3,0,4325
55,Bachelors,2014,Pune,1,0,0,No,0,1,4573
70,Masters,2017,Pune,2,0,1,No,2,0,2491
90,Bachelors,2016,Bangalore,3,0,1,No,4,0,987
100,Masters,2015,Pune,3,0,0,No,2,0,2022
90,Bachelors,2015,Bangalore,3,0,1,No,4,0,2950
55,Masters,2015,Pune,1,0,0,No,3,1,106
110,Masters,2015,New Delhi,1,0,1,No,5,1,3103
25,Masters,2017,New Delhi,2,0,0,No,2,1,2030
25,Bachelors,2017,Pune,2,0,1,No,1,1,3786
90,Bachelors,2012,Bangalore,3,0,1,No,0,0,4002
70,Masters,2017,New Delhi,3,1,0,No,2,0,3550
110,Bachelors,2012,Pune,3,0,0,No,5,0,3264
55,Bachelors,2014,Pune,1,0,0,No,4,1,2258
45,Bachelors,2015,Bangalore,3,0,1,No,3,1,3144
110,PHD,2014,Bangalore,3,0,0,No,2,0,285
110,PHD,2013,New Delhi,3,0,1,No,2,0,56
110,Bachelors,2014,Bangalore,3,0,1,No,5,0,2444
70,Bachelors,2017,New Delhi,3,0,0,No,0,0,3997
55,Bachelors,2013,Pune,2,0,0,No,4,1,793
60,Bachelors,2017,Bangalore,3,0,0,No,2,0,1731
70,Bachelors,2017,New Delhi,2,0,0,No,4,0,360
80,Bachelors,2015,New Delhi,3,0,0,Yes,4,0,488
70,Bachelors,2017,New Delhi,2,0,1,No,4,0,2746
110,Bachelors,2013,New Delhi,1,0,0,No,5,1,1183
100,Bachelors,2012,New Delhi,3,0,0,No,0,0,4277
70,Bachelors,2016,Bangalore,3,0,0,Yes,4,0,4380
110,Bachelors,2016,Bangalore,3,0,1,Yes,5,0,3493
45,Bachelors,2015,Bangalore,3,0,1,No,3,1,1633
90,Bachelors,2012,Bangalore,3,0,0,No,4,0,723
55,Masters,2012,New Delhi,3,0,0,No,4,1,2049
90,Bachelors,2013,Bangalore,3,0,0,No,1,0,50
90,Bachelors,2012,Bangalore,3,0,0,No,0,0,4069
110,Masters,2017,Pune,3,0,1,No,5,1,1890
110,Bachelors,2017,Bangalore,1,0,1,No,5,0,888
45,Masters,2013,Bangalore,1,0,1,No,3,1,149
25,Masters,2017,New Delhi,1,0,0,No,4,1,1772
40,Bachelors,2017,Bangalore,3,0,1,Yes,3,0,4077
90,Bachelors,2012,Bangalore,3,0,0,No,3,0,2949
100,Bachelors,2012,New Delhi,3,0,0,No,4,0,682
15,Bachelors,2018,Bangalore,3,0,1,No,1,1,3081
90,Bachelors,2016,Bangalore,3,0,0,No,4,0,4036
15,Masters,2017,Bangalore,3,1,0,No,2,1,70
15,Bachelors,2017,Bangalore,3,0,0,No,3,1,1817
60,Bachelors,2017,Bangalore,3,0,1,No,2,0,1861
45,Bachelors,2012,Bangalore,3,0,0,No,1,1,4613
15,Bachelors,2017,Bangalore,3,0,1,No,3,1,4140
90,Bachelors,2014,Bangalore,3,0,1,No,0,0,4385
60,Masters,2017,Bangalore,1,0,1,No,1,0,3709
110,PHD,2016,Bangalore,3,0,0,No,1,0,2055
55,Masters,2016,New Delhi,3,0,0,No,3,1,3793
60,Bachelors,2017,Bangalore,3,0,1,No,0,0,3889
110,Bachelors,2012,Pune,3,0,1,No,5,0,308
110,Masters,2017,New Delhi,3,0,1,No,5,1,217
110,Masters,2017,New Delhi,2,0,0,No,5,0,844
110,Bachelors,2014,Bangalore,3,0,0,No,5,0,1479
100,Bachelors,2013,Pune,2,0,1,No,4,0,222
110,Bachelors,2017,Pune,3,0,1,No,5,0,940
110,Bachelors,2017,New Delhi,2,0,0,No,5,0,1768
15,Bachelors,2018,Bangalore,3,0,1,No,4,1,641
55,Bachelors,2015,Pune,2,0,0,No,4,1,1286
90,Bachelors,2013,Bangalore,3,0,1,No,3,0,1159
90,Bachelors,2016,Bangalore,3,0,1,No,2,0,1912
70,Bachelors,2017,New Delhi,3,0,1,No,0,0,3913
110,Bachelors,2015,Pune,2,0,0,No,5,1,1472
100,Masters,2013,Pune,3,0,1,No,2,0,3626
25,Bachelors,2013,Bangalore,3,0,1,Yes,2,1,269
90,Bachelors,2012,Bangalore,3,0,1,No,3,0,3351
100,Bachelors,2012,Pune,3,0,1,No,4,0,2954
100,Bachelors,2015,Pune,3,0,1,No,2,0,1167
90,Bachelors,2013,Bangalore,3,0,1,No,4,0,1770
45,Masters,2016,Bangalore,1,0,1,No,2,1,3737
70,Bachelors,2017,Pune,3,0,1,No,0,0,2870
70,Bachelors,2017,New Delhi,2,0,1,No,0,0,1282
110,Bachelors,2016,Bangalore,3,0,1,No,5,0,497
-5,Bachelors,2018,Bangalore,3,0,1,Yes,0,1,4103
100,Bachelors,2014,New Delhi,3,0,0,No,2,0,992
90,Bachelors,2013,Bangalore,3,0,0,No,4,0,3131
55,Bachelors,2013,Pune,2,0,0,No,3,1,243
100,Masters,2014,New Delhi,3,0,1,No,2,0,507
45,Bachelors,2016,Bangalore,3,0,1,No,3,1,442
110,PHD,2012,Pune,3,0,1,No,5,0,1541
70,Bachelors,2015,Bangalore,3,0,1,Yes,4,0,2513
110,Bachelors,2015,New Delhi,2,0,0,No,5,1,3726
