Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,ID
Bachelors,2013,Bangalore,1,1,0,0,0,1,81
Bachelors,2017,Bangalore,1,1,0,0,3,0,83
Bachelors,2016,Pune,0,1,1,0,0,1,85
Masters,2015,Pune,0,1,0,0,4,0,87
Bachelors,2014,Bangalore,1,1,1,0,4,0,88
Masters,2012,New Delhi,1,1,1,0,2,0,89
Bachelors,2015,New Delhi,1,1,1,0,0,0,91
PHD,2018,Bangalore,1,1,1,0,4,1,95
Bachelors,2016,Bangalore,1,1,0,0,0,0,96
Bachelors,2014,Bangalore,1,1,1,0,5,1,97
Bachelors,2015,Bangalore,1,1,0,0,2,1,99
Masters,2017,New Delhi,1,1,0,0,4,1,102
Bachelors,2017,New Delhi,1,1,1,0,2,0,104
Masters,2015,Pune,0,1,0,0,3,1,105
Masters,2015,New Delhi,1,1,1,0,3,0,106
Masters,2013,Pune,1,1,1,0,3,0,108
Bachelors,2017,Pune,0,1,0,0,5,1,111
Bachelors,2013,Bangalore,1,1,1,0,5,1,112
Masters,2017,New Delhi,0,1,1,0,2,0,114
Bachelors,2014,Pune,0,1,0,0,4,1,115
Bachelors,2015,Bangalore,1,1,1,0,2,0,116
Masters,2013,New Delhi,1,1,1,0,4,0,117
Bachelors,2017,Bangalore,1,1,0,0,4,0,118
Bachelors,2015,New Delhi,1,1,0,0,3,0,122
Bachelors,2012,Bangalore,1,1,1,0,4,1,123
Bachelors,2014,Bangalore,1,1,0,0,3,0,124
Masters,2014,Pune,1,1,1,0,2,0,125
Bachelors,2013,Bangalore,1,1,1,0,1,0,126
Bachelors,2015,Pune,1,1,1,0,5,0,127
Bachelors,2013,Bangalore,1,1,1,0,1,1,131
Masters,2016,New Delhi,1,1,1,0,5,0,132
Masters,2017,Bangalore,1,1,1,0,4,0,133
Masters,2017,New Delhi,0,1,1,0,2,0,134
Masters,2018,New Delhi,1,1,1,0,4,1,135
Bachelors,2017,New Delhi,1,1,1,0,2,0,138
Bachelors,2013,Bangalore,1,1,1,0,4,0,139
Masters,2013,New Delhi,1,1,1,0,5,1,140
Bachelors,2016,Bangalore,1,1,1,0,4,0,143
Bachelors,2013,Bangalore,1,1,0,0,5,0,144
Bachelors,2016,Pune,1,1,1,0,1,0,147
Masters,2013,Bangalore,0,1,1,0,3,1,148
Bachelors,2018,New Delhi,1,1,0,0,5,1,150
Bachelors,2016,Bangalore,1,1,1,0,2,1,151
Bachelors,2012,Pune,0,1,0,0,2,1,152
Bachelors,2016,Pune,0,1,0,0,2,1,154
Bachelors,2013,Bangalore,1,1,0,0,3,0,156
Bachelors,2012,Bangalore,1,1,1,0,2,1,157
Bachelors,2016,Bangalore,1,1,1,0,3,0,159
Bachelors,2014,Bangalore,1,1,0,0,3,0,160
Bachelors,2013,Bangalore,1,1,0,0,4,0,161
Bachelors,2012,Bangalore,1,1,1,0,2,0,166
Bachelors,2014,Bangalore,1,1,1,0,3,0,167
Bachelors,2015,Bangalore,1,1,1,0,3,0,168
Masters,2015,New Delhi,1,1,1,0,4,1,169
Bachelors,2015,Pune,1,1,1,0,3,0,171
Bachelors,2014,Bangalore,1,1,0,0,5,0,173
Bachelors,2012,Bangalore,1,1,1,0,3,0,176
Masters,2017,New Delhi,1,1,1,0,5,1,183
Masters,2016,New Delhi,1,1,0,0,3,1,186
Bachelors,2015,Bangalore,1,1,1,0,4,0,190
Bachelors,2013,Bangalore,1,1,1,0,1,0,192
Bachelors,2013,Pune,1,1,1,0,1,0,195
Bachelors,2017,Pune,1,1,1,0,2,0,196
Bachelors,2013,New Delhi,1,1,0,0,5,0,197
Bachelors,2015,Pune,1,1,1,0,3,0,199
Bachelors,2014,Pune,0,1,0,0,3,1,200
Bachelors,2014,Bangalore,1,1,1,0,3,0,201
Bachelors,2017,Bangalore,1,1,1,0,5,0,202
Bachelors,2015,Pune,0,1,0,0,4,1,205
Masters,2013,Pune,0,1,1,0,5,1,207
Masters,2017,Bangalore,1,1,1,0,2,0,208
Bachelors,2012,Bangalore,1,1,1,0,3,1,209
Masters,2017,Pune,0,1,0,0,5,0,211
Masters,2013,Bangalore,0,1,0,0,2,1,212
Masters,2017,Pune,1,1,1,0,1,1,213
Masters,2013,New Delhi,1,1,1,0,4,1,217
Bachelors,2018,Bangalore,1,1,0,0,2,1,222
Bachelors,2013,Pune,1,1,1,0,2,0,225
Bachelors,2018,Bangalore,1,1,1,0,3,1,227
Bachelors,2014,Pune,0,1,0,0,5,1,228
Bachelors,2013,Pune,1,1,1,0,2,0,229
Bachelors,2014,Pune,1,1,1,0,2,0,230
Bachelors,2014,Bangalore,1,1,1,1,4,0,232
Bachelors,2013,Pune,0,1,0,0,3,1,242
Bachelors,2014,Bangalore,1,1,1,0,3,0,244
Bachelors,2014,Pune,0,1,0,0,2,1,245
Bachelors,2015,Bangalore,1,1,1,0,2,1,246
Bachelors,2016,Bangalore,0,1,0,0,2,0,250
Bachelors,2014,Bangalore,1,1,1,0,5,0,252
Masters,2017,New Delhi,0,1,0,0,1,0,257
Bachelors,2017,New Delhi,0,1,0,0,5,0,259
Bachelors,2016,Pune,0,1,0,0,5,1,261
Masters,2018,Bangalore,1,1,1,0,2,1,262
Bachelors,2013,Bangalore,1,1,1,1,2,1,268
Bachelors,2013,Pune,1,1,1,0,1,0,272
Bachelors,2018,Bangalore,1,1,0,1,1,1,274
Bachelors,2012,Bangalore,1,1,1,0,3,0,276
Bachelors,2014,Bangalore,1,1,1,0,1,0,277
Bachelors,2017,New Delhi,1,1,0,0,3,0,278
Masters,2017,New Delhi,0,1,1,1,2,0,279
Bachelors,2014,Bangalore,1,1,1,0,3,0,280
Masters,2017,New Delhi,1,1,1,0,4,0,281
Bachelors,2015,Pune,0,1,0,0,3,1,282
Masters,2013,New Delhi,1,1,1,0,5,0,283
Masters,2017,New Delhi,0,1,0,0,5,0,285
Bachelors,2018,Bangalore,1,1,1,0,4,1,286
Bachelors,2018,Bangalore,1,1,1,0,4,1,289
Masters,2017,New Delhi,0,1,0,0,3,0,291
Bachelors,2017,New Delhi,0,1,1,0,1,0,292
Bachelors,2012,New Delhi,1,1,0,0,5,0,293
Bachelors,2016,Bangalore,1,1,0,0,2,1,297
Bachelors,2012,Bangalore,1,1,1,0,3,0,298
Bachelors,2012,Bangalore,1,1,1,0,5,0,299
Bachelors,2014,New Delhi,1,1,0,1,5,0,302
Bachelors,2012,Pune,1,1,1,0,5,0,307
Masters,2017,New Delhi,0,1,0,0,2,0,308
Bachelors,2017,Pune,1,1,1,0,3,0,312
Bachelors,2017,Bangalore,0,1,1,0,3,0,313
Bachelors,2017,Bangalore,1,1,0,0,2,0,320
Masters,2012,New Delhi,1,1,0,0,2,1,322
Bachelors,2018,Pune,1,1,1,1,3,1,326
Masters,2017,New Delhi,1,1,1,0,2,0,327
Bachelors,2015,Bangalore,1,1,0,0,2,0,332
Bachelors,2016,Pune,1,1,1,0,4,0,333
Bachelors,2015,New Delhi,0,1,0,0,5,1,334
Bachelors,2018,Bangalore,1,1,0,0,2,1,335
Bachelors,2013,Bangalore,1,1,0,0,5,0,336
Bachelors,2013,Bangalore,1,1,1,1,2,0,337
Bachelors,2013,Bangalore,1,1,0,0,2,0,338
Bachelors,2017,Bangalore,1,1,0,0,4,0,340
Bachelors,2015,Bangalore,1,1,0,0,2,0,341
Bachelors,2016,Bangalore,1,1,1,1,2,1,343
Bachelors,2017,Pune,0,1,1,0,2,1,348
Bachelors,2016,Pune,0,1,0,0,4,1,349
Bachelors,2012,Bangalore,1,1,1,0,3,0,354
Masters,2017,Pune,0,1,1,0,4,0,356
Bachelors,2017,New Delhi,1,1,0,0,5,0,362
Masters,2017,Bangalore,0,1,0,0,4,1,364
Masters,2015,Pune,0,1,0,0,3,1,367
Bachelors,2014,Bangalore,1,1,0,0,3,0,368
Bachelors,2014,Bangalore,1,1,1,0,2,0,369
Bachelors,2016,Bangalore,1,1,0,0,3,0,374
Bachelors,2015,Pune,0,1,0,0,2,1,376
Bachelors,2014,Bangalore,1,1,1,0,2,0,379
Bachelors,2016,Bangalore,1,1,1,0,2,0,380
Bachelors,2013,Pune,1,1,1,0,5,0,382
Bachelors,2014,Bangalore,1,1,1,0,4,0,384
Bachelors,2016,Bangalore,1,1,1,0,3,1,394
Bachelors,2014,Bangalore,1,1,1,0,3,0,396
Bachelors,2017,New Delhi,0,1,0,0,1,0,397
Masters,2017,New Delhi,1,1,1,1,4,1,399
Bachelors,2012,Bangalore,1,1,0,0,4,0,404
Bachelors,2015,Bangalore,1,1,1,0,2,0,405
Bachelors,2016,Pune,1,1,1,0,2,0,408
Bachelors,2015,Pune,0,1,0,1,3,1,410
Bachelors,2017,Pune,1,1,1,0,3,0,412
Bachelors,2015,Pune,0,1,0,1,4,1,413
Masters,2015,Bangalore,0,1,0,0,4,1,414
Bachelors,2012,Pune,1,1,0,0,5,0,415
Bachelors,2013,New Delhi,1,1,0,1,5,0,420
Bachelors,2017,Pune,0,1,1,0,5,0,423
Bachelors,2012,Bangalore,1,1,1,0,5,0,424
PHD,2016,New Delhi,0,1,1,0,3,1,429
Masters,2017,New Delhi,0,1,1,1,5,1,431
PHD,2013,New Delhi,1,1,1,0,5,0,432
Bachelors,2015,Pune,1,1,0,1,4,1,435
Masters,2014,Bangalore,1,1,1,0,4,1,436
Bachelors,2017,Bangalore,1,1,1,0,4,0,438
Masters,2017,Pune,0,1,1,0,5,1,439
Bachelors,2016,Bangalore,1,1,1,0,3,1,441
Bachelors,2013,Pune,0,1,1,0,3,1,447
Bachelors,2012,Pune,1,1,1,0,5,0,448
Bachelors,2013,Pune,1,1,1,0,4,0,450
Bachelors,2014,Bangalore,1,1,0,0,3,0,452
Bachelors,2015,New Delhi,1,1,1,0,3,0,453
PHD,2012,Pune,1,1,1,0,2,0,454
Bachelors,2013,Bangalore,1,1,1,0,5,0,455
Bachelors,2015,Bangalore,1,1,1,0,3,0,456
Bachelors,2016,Bangalore,1,1,1,0,4,0,457
Masters,2015,New Delhi,1,1,0,0,2,0,458
Bachelors,2013,Pune,1,1,1,0,2,0,460
Bachelors,2018,Bangalore,1,1,1,0,1,1,463
Bachelors,2017,Bangalore,1,1,1,1,3,0,464
Bachelors,2013,Bangalore,1,1,1,1,4,0,466
Masters,2018,New Delhi,0,1,1,1,2,1,467
Bachelors,2012,Bangalore,1,1,1,0,3,0,468
PHD,2013,New Delhi,0,1,0,0,5,0,469
Masters,2018,New Delhi,1,1,1,1,2,1,470
Bachelors,2015,Pune,0,1,0,0,1,1,474
Masters,2013,New Delhi,0,1,1,0,3,1,479
Masters,2017,New Delhi,0,1,1,0,5,1,480
Bachelors,2017,Bangalore,1,1,1,0,2,0,481
Bachelors,2016,Pune,0,1,0,0,2,1,482
Bachelors,2012,Bangalore,1,1,0,0,4,0,483
Masters,2017,Pune,0,1,1,0,2,0,485
PHD,2015,New Delhi,0,1,0,0,1,0,490
Bachelors,2016,Pune,1,1,1,0,2,0,491
Bachelors,2016,Bangalore,1,1,1,0,5,0,493
Bachelors,2017,Bangalore,1,1,0,0,3,0,494
Masters,2014,New Delhi,1,1,1,0,5,0,495
Bachelors,2016,Bangalore,1,1,0,0,3,0,497
Bachelors,2018,Pune,1,1,1,0,3,1,498
Bachelors,2017,New Delhi,0,1,0,0,3,1,501
Bachelors,2012,Bangalore,1,1,1,1,3,0,502
Bachelors,2014,New Delhi,1,1,0,0,2,0,503
Bachelors,2017,New Delhi,0,1,0,0,5,0,504
Bachelors,2018,Pune,1,1,1,0,4,1,505
Masters,2017,Pune,1,1,1,0,3,1,508
Bachelors,2012,Bangalore,1,1,1,1,2,0,511
Bachelors,2015,Bangalore,1,1,0,0,1,0,512
Bachelors,2014,Bangalore,1,1,1,0,2,0,513
Bachelors,2012,Pune,1,1,1,0,3,0,517
Bachelors,2018,Pune,1,1,1,1,3,1,518
Bachelors,2014,Bangalore,1,1,1,0,5,1,519
Masters,2014,Bangalore,1,1,0,0,2,1,522
Bachelors,2015,Bangalore,1,1,1,0,3,0,525
Bachelors,2017,Bangalore,1,1,1,0,2,0,526
Bachelors,2016,Bangalore,1,1,1,0,2,0,528
PHD,2014,New Delhi,1,1,1,0,2,0,529
Masters,2018,New Delhi,1,1,1,0,3,1,531
Bachelors,2014,Bangalore,1,1,1,0,3,1,533
Bachelors,2018,New Delhi,1,1,0,0,3,1,534
Masters,2017,New Delhi,0,1,1,1,3,1,535
Masters,2013,New Delhi,1,1,1,0,2,0,536
Bachelors,2014,Bangalore,1,1,1,1,4,0,537
Bachelors,2016,Bangalore,1,1,1,0,3,0,540
Bachelors,2018,Bangalore,1,1,1,0,2,1,541
Bachelors,2013,Bangalore,1,1,1,0,2,0,544
Masters,2014,Pune,0,1,0,0,5,0,547
Bachelors,2017,New Delhi,0,1,1,0,5,0,548
Bachelors,2017,Bangalore,1,1,1,0,5,0,555
Bachelors,2012,Bangalore,1,1,1,0,2,0,556
Bachelors,2014,Bangalore,1,1,0,0,1,1,558
Bachelors,2015,Bangalore,1,1,1,0,3,0,559
Bachelors,2015,Pune,0,1,0,0,3,1,560
Bachelors,2017,Bangalore,1,1,0,0,2,0,561
Bachelors,2016,Bangalore,1,1,0,0,5,1,562
Bachelors,2012,Bangalore,1,1,1,0,3,0,563
PHD,2017,New Delhi,1,1,1,0,5,0,567
Bachelors,2012,Bangalore,1,1,1,0,4,0,568
Bachelors,2014,Pune,1,1,0,0,3,0,571
Bachelors,2013,Bangalore,1,1,1,1,3,0,572
Bachelors,2018,Bangalore,1,1,1,0,5,1,574
Bachelors,2017,Bangalore,1,1,1,0,4,0,575
Bachelors,2017,Pune,0,1,0,0,3,1,576
Masters,2017,Pune,0,1,1,0,4,1,579
Bachelors,2012,New Delhi,0,1,1,0,3,1,581
Masters,2017,New Delhi,0,1,0,0,4,0,583
Bachelors,2012,Bangalore,1,1,1,0,3,0,589
Masters,2012,Pune,0,1,0,0,4,0,590
Masters,2016,New Delhi,1,1,1,0,5,1,591
PHD,2017,Bangalore,1,1,1,0,1,0,592
Bachelors,2014,Bangalore,1,1,1,0,5,0,593
Bachelors,2018,Pune,1,1,1,0,4,1,594
Bachelors,2016,Pune,1,1,1,0,2,0,596
Bachelors,2012,Bangalore,1,1,1,0,3,0,597
Bachelors,2017,Bangalore,1,1,1,0,5,0,598
Bachelors,2016,Bangalore,1,1,1,0,2,0,599
Bachelors,2017,New Delhi,0,1,1,0,5,0,600
Bachelors,2013,Bangalore,1,1,1,0,1,0,602
Bachelors,2016,Bangalore,1,1,1,1,5,0,604
Masters,2015,Pune,0,1,0,0,3,0,605
Bachelors,2017,New Delhi,1,1,1,0,2,0,607
Bachelors,2015,Pune,0,1,0,0,2,1,608
Masters,2013,Pune,1,1,1,0,2,1,609
Bachelors,2017,Pune,1,1,0,0,5,1,610
Bachelors,2016,Bangalore,1,1,1,0,4,0,612
Bachelors,2014,Pune,0,1,0,0,4,1,613
Bachelors,2017,New Delhi,0,1,1,0,4,0,616
Bachelors,2016,Pune,1,1,1,0,3,0,623
Bachelors,2014,Pune,1,1,1,0,5,0,626
Masters,2017,Pune,1,1,1,0,4,1,628
PHD,2013,Bangalore,0,1,1,0,4,0,631
Masters,2012,Pune,1,1,1,0,5,1,632
Masters,2017,New Delhi,0,1,0,1,2,1,636
Bachelors,2018,Bangalore,1,1,1,0,5,1,638
Bachelors,2018,Bangalore,1,1,1,0,4,1,640
Bachelors,2016,Bangalore,1,1,0,0,5,0,643
Bachelors,2018,Bangalore,1,1,0,0,2,1,646
Bachelors,2015,Bangalore,1,1,1,0,5,0,648
Bachelors,2014,Bangalore,1,1,0,0,3,0,653
Masters,2017,Pune,0,1,0,0,1,0,657
Bachelors,2014,Pune,0,1,0,0,3,1,658
Bachelors,2017,Bangalore,1,1,1,0,3,0,659
Bachelors,2016,Bangalore,1,1,0,0,3,0,660
Bachelors,2014,Bangalore,1,1,0,0,2,0,661
Bachelors,2017,New Delhi,0,1,0,0,2,0,663
PHD,2013,New Delhi,0,1,1,0,3,1,664
Masters,2018,New Delhi,1,1,0,0,5,1,670
Bachelors,2016,New Delhi,1,1,0,0,5,0,671
Bachelors,2017,Bangalore,1,1,1,0,4,0,673
Bachelors,2016,New Delhi,1,1,0,1,5,0,674
Masters,2013,New Delhi,0,1,1,0,2,1,683
Bachelors,2018,Pune,1,1,1,0,4,1,684
Bachelors,2016,New Delhi,1,1,0,0,2,0,685
Bachelors,2016,Pune,1,1,1,0,4,0,686
Bachelors,2015,Bangalore,1,1,0,0,3,1,693
Masters,2017,New Delhi,0,1,0,0,4,0,700
Masters,2017,Pune,0,1,1,0,2,1,703
Bachelors,2015,Bangalore,1,1,1,1,1,1,706
Masters,2013,Bangalore,1,1,1,0,5,1,709
Bachelors,2015,New Delhi,0,1,0,1,2,1,711
Bachelors,2016,Pune,0,1,0,0,5,1,713
Bachelors,2017,Bangalore,1,1,0,0,5,0,714
Bachelors,2018,Bangalore,1,1,1,1,5,1,718
Bachelors,2014,Bangalore,1,1,1,0,2,0,720
Bachelors,2013,New Delhi,0,1,0,0,2,1,721
Bachelors,2012,Bangalore,1,1,0,0,4,0,722
Bachelors,2015,Pune,0,1,0,1,2,1,723
Bachelors,2016,Bangalore,1,1,0,0,2,0,725
PHD,2018,Bangalore,1,1,0,0,2,1,730
Masters,2016,New Delhi,1,1,1,0,2,1,734
Bachelors,2017,New Delhi,0,1,0,0,3,0,735
Bachelors,2017,Bangalore,1,1,1,0,2,0,738
PHD,2012,New Delhi,1,1,1,0,2,0,740
Masters,2014,New Delhi,1,1,1,0,5,0,742
Bachelors,2012,Bangalore,1,1,0,0,3,0,746
Bachelors,2015,Bangalore,1,1,0,0,2,0,747
Bachelors,2012,Pune,0,1,1,0,4,0,750
Masters,2017,Bangalore,1,1,0,0,3,1,751
Bachelors,2017,Pune,0,1,0,0,4,1,754
Bachelors,2012,Bangalore,1,1,0,0,5,0,755
Masters,2017,Pune,1,1,1,0,2,1,758
Bachelors,2014,Bangalore,1,1,1,0,2,0,760
Bachelors,2016,New Delhi,1,1,0,1,3,0,762
Masters,2015,New Delhi,1,1,0,0,3,0,764
Bachelors,2014,Bangalore,1,1,1,0,2,0,766
Bachelors,2018,Bangalore,1,1,1,0,4,1,767
Bachelors,2013,Bangalore,1,1,1,0,4,0,768
Bachelors,2015,New Delhi,1,1,0,0,3,1,769
Bachelors,2016,Pune,0,1,0,0,3,1,771
Masters,2013,New Delhi,1,1,0,0,3,1,774
Bachelors,2013,Bangalore,0,1,0,0,2,0,775
Masters,2014,Bangalore,1,1,0,0,5,1,776
Bachelors,2016,Bangalore,1,1,1,0,3,0,778
Bachelors,2013,Bangalore,1,1,1,0,4,0,781
Bachelors,2013,Pune,0,1,1,1,5,0,782
Bachelors,2016,Bangalore,1,1,1,1,3,0,784
Masters,2017,Pune,0,1,1,0,4,1,790
Bachelors,2017,New Delhi,0,1,0,0,5,0,791
Bachelors,2013,Pune,0,1,0,0,4,1,792
Bachelors,2012,Bangalore,1,1,1,0,2,0,793
Bachelors,2016,Bangalore,1,1,1,0,4,0,798
Bachelors,2013,Bangalore,1,1,1,0,2,0,799
Bachelors,2012,Pune,0,1,1,0,3,1,800
Bachelors,2017,Bangalore,1,1,0,0,5,1,802
Bachelors,2017,New Delhi,1,1,0,0,5,0,803
Bachelors,2017,Bangalore,1,1,0,1,2,0,806
Bachelors,2017,Bangalore,1,1,1,0,5,0,808
Bachelors,2014,Pune,0,1,0,0,3,1,811
Bachelors,2015,Pune,0,1,0,0,5,1,813
Bachelors,2017,Bangalore,1,1,0,0,2,1,816
Bachelors,2013,Bangalore,1,1,0,0,4,0,817
Bachelors,2012,Bangalore,1,1,0,0,5,0,825
Bachelors,2012,New Delhi,1,1,0,0,5,0,826
Bachelors,2012,Bangalore,1,1,1,1,3,1,828
Masters,2013,New Delhi,0,1,0,0,5,1,833
Bachelors,2015,Bangalore,1,1,0,0,4,0,834
Masters,2015,New Delhi,1,1,0,0,1,1,835
Bachelors,2013,New Delhi,1,1,0,0,3,0,837
Bachelors,2015,Bangalore,1,1,0,0,4,1,838
Bachelors,2012,Pune,1,1,1,0,2,0,839
Bachelors,2012,Bangalore,1,1,0,0,4,0,840
Masters,2015,Pune,0,1,0,0,3,1,841
Masters,2017,New Delhi,0,1,0,0,5,0,843
Masters,2017,Pune,0,1,1,0,4,0,844
Bachelors,2014,Pune,1,1,1,0,5,0,845
Bachelors,2015,Pune,1,1,1,0,4,0,849
Bachelors,2017,Pune,0,1,1,0,2,1,850
Masters,2017,New Delhi,0,1,1,0,4,1,851
Masters,2017,New Delhi,0,1,0,0,3,1,853
Bachelors,2014,Pune,1,1,1,0,2,0,855
Bachelors,2016,New Delhi,1,1,0,0,5,0,856
Bachelors,2017,New Delhi,0,1,1,0,1,0,857
Bachelors,2014,New Delhi,1,1,0,0,1,0,859
Bachelors,2015,Bangalore,1,1,1,0,5,1,860
Bachelors,2018,Bangalore,1,1,1,0,2,1,862
Masters,2017,Pune,0,1,1,0,4,0,865
Masters,2017,New Delhi,0,1,1,0,3,1,866
Bachelors,2016,New Delhi,1,1,0,0,5,0,867
Bachelors,2015,Pune,1,1,1,0,3,0,869
Bachelors,2012,New Delhi,1,1,0,1,4,0,870
Bachelors,2015,Pune,0,1,0,0,4,1,874
Bachelors,2015,Bangalore,1,1,1,1,2,0,876
Masters,2012,Pune,1,1,1,0,5,1,877
Bachelors,2017,Bangalore,0,1,1,0,5,0,878
Bachelors,2016,Bangalore,1,1,1,0,2,0,879
Bachelors,2017,Bangalore,1,1,1,0,5,0,880
Bachelors,2017,Bangalore,1,1,0,0,2,0,882
Bachelors,2014,Bangalore,1,1,1,0,4,1,884
Bachelors,2014,New Delhi,1,1,0,0,2,0,886
Bachelors,2017,Pune,1,1,1,0,3,0,890
Bachelors,2014,Bangalore,1,1,1,0,3,0,891
Bachelors,2017,New Delhi,1,1,1,0,5,0,895
Bachelors,2013,Bangalore,1,1,1,0,5,0,896
Masters,2017,New Delhi,0,1,0,0,4,1,897
Bachelors,2014,Bangalore,1,1,1,0,2,0,898
Bachelors,2012,Pune,1,1,1,0,5,0,900
Bachelors,2014,Bangalore,1,1,1,0,3,0,903
Masters,2017,Bangalore,1,1,1,0,1,1,905
Bachelors,2018,Bangalore,1,1,1,1,5,1,906
Bachelors,2013,Pune,1,1,0,0,2,0,909
Bachelors,2014,Bangalore,1,1,0,0,2,0,911
Masters,2013,New Delhi,0,1,0,0,2,0,913
Masters,2013,New Delhi,0,1,1,1,2,1,914
Bachelors,2014,Bangalore,1,1,1,0,2,0,919
Bachelors,2015,Pune,1,1,1,0,1,0,921
Bachelors,2015,Bangalore,1,1,1,0,4,0,922
Bachelors,2018,Bangalore,1,1,1,1,3,1,924
Bachelors,2017,Pune,1,1,1,0,2,0,927
Bachelors,2014,Bangalore,1,1,1,0,5,0,928
Masters,2012,Bangalore,1,1,1,0,5,1,933
Masters,2018,Pune,1,1,1,0,5,1,935
Masters,2017,New Delhi,0,1,1,0,2,0,936
Bachelors,2013,Bangalore,1,1,1,0,5,0,937
Masters,2017,Bangalore,0,1,1,1,2,1,938
Bachelors,2017,Pune,1,1,1,0,5,0,939
Bachelors,2017,Pune,1,1,0,0,1,0,940
Bachelors,2018,Bangalore,1,1,1,0,3,1,943
Bachelors,2015,Pune,0,1,0,0,4,1,945
Bachelors,2017,New Delhi,1,1,1,0,4,0,946
Bachelors,2017,Bangalore,1,1,1,1,3,0,948
Bachelors,2014,Bangalore,1,1,1,0,3,0,951
Masters,2017,New Delhi,1,1,1,0,3,1,952
Bachelors,2015,Pune,0,1,0,0,5,1,953
Bachelors,2017,Pune,1,1,1,0,2,0,960
PHD,2016,Bangalore,1,1,1,0,5,0,961
Bachelors,2012,Bangalore,1,1,1,0,4,0,964
Masters,2018,New Delhi,1,1,0,0,3,1,967
Bachelors,2013,Pune,0,1,0,0,3,1,968
Bachelors,2015,New Delhi,1,1,0,0,3,0,970
Bachelors,2017,Bangalore,1,1,1,0,2,0,971
Masters,2018,New Delhi,0,1,0,0,4,1,972
Masters,2015,Pune,0,1,0,0,5,0,977
Bachelors,2016,Bangalore,0,1,0,0,5,0,979
Bachelors,2015,Pune,1,1,0,0,3,1,982
Bachelors,2015,Bangalore,1,1,1,0,4,0,985
Bachelors,2017,Bangalore,1,1,0,0,2,0,990
Bachelors,2014,New Delhi,1,1,0,0,2,0,991
Bachelors,2013,Pune,1,1,1,1,4,0,992
Bachelors,2014,Bangalore,1,1,1,0,4,0,993
Bachelors,2016,New Delhi,1,1,0,0,5,0,997
Bachelors,2012,Pune,0,1,0,0,4,1,999
Masters,2017,New Delhi,1,1,0,0,3,0,1002
Bachelors,2012,New Delhi,1,1,0,0,5,0,1003
Bachelors,2017,New Delhi,1,1,0,0,2,1,1008
Bachelors,2014,Bangalore,1,1,1,0,1,1,1009
Bachelors,2015,Bangalore,1,1,0,0,1,0,1010
Bachelors,2017,Bangalore,1,1,1,0,3,0,1013
Bachelors,2014,Bangalore,1,1,1,0,3,0,1015
Bachelors,2017,Bangalore,0,1,1,0,2,0,1017
Bachelors,2014,New Delhi,1,1,0,0,5,1,1018
Bachelors,2013,Bangalore,1,1,0,0,5,0,1019
Bachelors,2012,Bangalore,1,1,0,0,2,0,1020
Bachelors,2015,Bangalore,1,1,1,0,5,0,1021
Bachelors,2012,Bangalore,1,1,1,0,4,0,1022
Bachelors,2013,Pune,0,1,0,0,5,1,1023
Bachelors,2014,New Delhi,1,1,0,1,5,0,1024
